[10, 10, 6, 52882, 6, 3680, 6, 52882, 6, 3710]
[10, 10, 8, 87098, 8, 5397, 8, 87098, 8, 5397]
[10, 10, 2, 3446, 2, 1864, 2, 2, 2, 2]
[10, 10, 2, 6098, 2, 2231, 2, 2, 2, 2]
[10, 10, 2, 6578, 2, 2138, 2, 2, 2, 2]
[10, 10, 4, 13006, 4, 1944, 4, 46, 4, 34]
[10, 10, 6, 42574, 6, 3744, 6, 2676, 6, 572]
[10, 10, 4, 25158, 4, 3466, 4, 5585, 4, 1178]
[10, 10, 6, 69326, 6, 3582, 6, 953, 6, 171]
[10, 10, 4, 28530, 4, 2974, 4, 1568, 4, 386]
[11, 11, 2, 3094, 2, 3094, 2, 2, 2, 2]
[11, 11, 2, 94060, 2, 7982, 2, 2, 2, 2]
[11, 11, 2, 53438, 2, 7632, 2, 2, 2, 2]
[11, 11, 2, 17196, 2, 6004, 2, 2, 2, 2]
[11, 11, 6, 520449, 6, 20136, 6, 22903, 6, 1802]
[11, 11, 2, 11, 2, 11, 1, 1, 1, 1]
[11, 11, 6, 212884, 6, 12011, 6, 10716, 6, 1353]
[11, 11, 6, 244445, 6, 8688, 6, 953, 6, 231]
[11, 11, 6, 289206, 6, 13931, 6, 13614, 6, 2009]
[11, 11, 2, 92, 2, 92, 2, 2, 2, 2]
[12, 12, 4, 859412, 4, 30958, 4, 159933, 4, 10125]
[10, 10, 2, 6338, 2, 2334, 2, 2, 2, 2]
[10, 10, 6, 48434, 6, 3146, 6, 238, 6, 66]
[10, 10, 4, 23490, 4, 2908, 4, 387, 4, 144]
[10, 10, 2, 10, 2, 10, 1, 1, 1, 1]
[10, 10, 2, 9710, 2, 2364, 2, 2, 2, 2]
[11, 11, 2, 11, 2, 11, 1, 1, 1, 1]
[11, 11, 2, 65048, 2, 8740, 2, 2, 2, 2]
[11, 11, 2, 32616, 2, 7377, 2, 2, 2, 2]
[11, 11, 6, 200492, 6, 9690, 6, 9774, 6, 1226]
[11, 11, 2, 11, 2, 11, 1, 1, 1, 1]
[12, 12, 8, 2329468, 8, 65558, 8, 96698, 8, 7772]
[12, 12, 8, 3432220, 8, 45707, 8, 632799, 8, 17355]
[12, 12, 2, 434416, 2, 28801, 2, 2, 2, 2]
[12, 12, 4, 482708, 4, 43146, 4, 31, 4, 21]
[12, 12, 6, 2410876, 6, 28758, 6, 455797, 6, 10287]
